Model Name,Train Accuracy,Test Accuracy
Naive Bayes,93.20181871516574,94.02920962199313
Decision Tree,99.6259900264007,99.52749140893471
SVM,95.37254326782048,95.96219931271477
KNN,98.98063948371957,98.75429553264605
Random Forest,55.30214139043708,63.230240549828174
