Model Name,Train Accuracy,Test Accuracy
Naive Bayes,92.59816059426954,88.1872852233677
Decision Tree,99.6462681287584,84.23539518900344
SVM,95.22461973823842,88.78865979381443
KNN,87.41598868058013,67.65463917525774
Random Forest,75.221082419526,79.42439862542955
MLPClassifier,99.16873010258224,86.25429553264605
