Model Name,Train Accuracy,Test Accuracy
Naive Bayes,63.061549345596035,67.7405498281787
Decision Tree,99.93809692253272,67.9553264604811
SVM,72.9395118500177,70.83333333333334
KNN,83.97594623275558,60.91065292096219
Random Forest,65.92677750265298,68.90034364261169
MLPClassifier,69.95047753802618,67.09621993127148
